State,2020 Early Votes Cast by Youth,2020 Ballots Requested by Youth,2016 Total Votes Cast by Youth
Arizona,296851,603758,356143
Colorado,350149,357772,466987
Florida,999061,1183684,1246938
Georgia,560269,632680,596031
Iowa,93752,113862,245948
Maine,43464,51919,101219
Michigan,258934,396155,651557
Minnesota,192063,null,465808
Montana,59794,102595,66931
North Carolina,657640,,714372
Ohio,330741,399783,798797
Pennsylvania,309208,469635,904354
Texas,1364448,null,1219677
Virginia,386252,449692,629083
